NaN,-2.5401,-2.2606,-2.0076,-1.7787,-1.5716,-1.3842,-1.2147,-1.0612,-0.92242,-0.79681,-0.68315,-0.5803,-0.48725,-0.40305,-0.32686,-0.25792,-0.19554,-0.1391,-0.088028,-0.041817,-3.9757e-06,0.038898,0.084801,0.13553,0.1916,0.25356,0.32204,0.39773,0.48137,0.57381,0.67597,0.78887,0.91365,1.0516,1.204,1.3724,1.5585,1.7643,1.9916,2.2429,2.5206
0.9018,2.9021e+10,3.4381e+10,3.9882e+10,4.5266e+10,5.0149e+10,5.3911e+10,5.5936e+10,5.5843e+10,5.3683e+10,4.9992e+10,4.5602e+10,4.1336e+10,3.7765e+10,3.5151e+10,3.3512e+10,3.2733e+10,3.2649e+10,3.3085e+10,3.3886e+10,3.4919e+10,3.608e+10,3.7329e+10,3.8971e+10,4.0939e+10,4.3217e+10,4.574e+10,4.8386e+10,5.0971e+10,5.3252e+10,5.4963e+10,5.5849e+10,5.5724e+10,5.4504e+10,5.2227e+10,4.9038e+10,4.5163e+10,4.0858e+10,3.6372e+10,3.1923e+10,2.7675e+10,2.3742e+10
1.002,2.7572e+10,3.2226e+10,3.6938e+10,4.1134e+10,4.4451e+10,4.6341e+10,4.6353e+10,4.4366e+10,4.0719e+10,3.6131e+10,3.1438e+10,2.7298e+10,2.4054e+10,2.1773e+10,2.0364e+10,1.9677e+10,1.9557e+10,1.9863e+10,2.0478e+10,2.1302e+10,2.2257e+10,2.3311e+10,2.4738e+10,2.651e+10,2.8648e+10,3.1138e+10,3.3919e+10,3.6862e+10,3.9772e+10,4.2392e+10,4.4447e+10,4.5686e+10,4.5933e+10,4.5129e+10,4.333e+10,4.0695e+10,3.7446e+10,3.3823e+10,3.0055e+10,2.6328e+10,2.2784e+10
1.1022,2.6055e+10,2.9978e+10,3.3869e+10,3.6952e+10,3.8869e+10,3.9189e+10,3.7666e+10,3.4439e+10,3.0063e+10,2.5328e+10,2.0959e+10,1.7391e+10,1.475e+10,1.296e+10,1.1869e+10,1.1324e+10,1.1195e+10,1.1381e+10,1.1801e+10,1.2388e+10,1.309e+10,1.3885e+10,1.4994e+10,1.6416e+10,1.8198e+10,2.0368e+10,2.2916e+10,2.578e+10,2.8824e+10,3.184e+10,3.4562e+10,3.6712e+10,3.8052e+10,3.8431e+10,3.7818e+10,3.6292e+10,3.4024e+10,3.1229e+10,2.8129e+10,2.4925e+10,2.1777e+10
1.2024,2.449e+10,2.771e+10,3.0734e+10,3.2796e+10,3.3505e+10,3.2578e+10,2.9988e+10,2.6097e+10,2.1589e+10,1.7214e+10,1.3514e+10,1.0699e+10,8.7257e+09,7.4352e+09,6.6583e+09,6.2596e+09,6.1418e+09,6.2364e+09,6.4929e+09,6.8717e+09,7.3399e+09,7.886e+09,8.6699e+09,9.7111e+09,1.1066e+10,1.2787e+10,1.4907e+10,1.7421e+10,2.0259e+10,2.3276e+10,2.625e+10,2.8909e+10,3.0981e+10,3.2251e+10,3.2601e+10,3.2033e+10,3.065e+10,2.8628e+10,2.6171e+10,2.3481e+10,2.0731e+10
1.3026,2.2894e+10,2.547e+10,2.7603e+10,2.8742e+10,2.8449e+10,2.6598e+10,2.3367e+10,1.9282e+10,1.506e+10,1.1331e+10,8.4231e+09,6.3595e+09,4.9896e+09,4.125e+09,3.6104e+09,3.3392e+09,3.2431e+09,3.2793e+09,3.4188e+09,3.6399e+09,3.9249e+09,4.2684e+09,4.778e+09,5.4799e+09,6.4308e+09,7.6929e+09,9.3244e+09,1.1362e+10,1.3798e+10,1.6553e+10,1.9466e+10,2.2301e+10,2.4787e+10,2.6667e+10,2.7757e+10,2.7981e+10,2.7373e+10,2.6055e+10,2.4205e+10,2.2012e+10,1.9655e+10
1.4028,2.1288e+10,2.3269e+10,2.4551e+10,2.4865e+10,2.3779e+10,2.1307e+10,1.7797e+10,1.3868e+10,1.0187e+10,7.2103e+09,5.0687e+09,3.6521e+09,2.7627e+09,2.2213e+09,1.9026e+09,1.7298e+09,1.6585e+09,1.6634e+09,1.7292e+09,1.8453e+09,2.0032e+09,2.2012e+09,2.5063e+09,2.9441e+09,3.5637e+09,4.4258e+09,5.5979e+09,7.1426e+09,9.0964e+09,1.1443e+10,1.4087e+10,1.6849e+10,1.9484e+10,2.1724e+10,2.3339e+10,2.4188e+10,2.4234e+10,2.3544e+10,2.2253e+10,2.0534e+10,1.856e+10
1.503,1.9688e+10,2.1103e+10,2.1645e+10,2.1238e+10,1.9556e+10,1.6733e+10,1.3232e+10,9.6915e+09,6.6654e+09,4.4229e+09,2.9371e+09,2.0236e+09,1.4825e+09,1.1653e+09,9.8052e+08,8.773e+08,8.2865e+08,8.2056e+08,8.4555e+08,8.9915e+08,9.7791e+08,1.0819e+09,1.2496e+09,1.502e+09,1.8774e+09,2.4275e+09,3.2174e+09,4.3193e+09,5.7972e+09,7.6823e+09,9.9429e+09,1.2463e+10,1.5044e+10,1.7432e+10,1.9379e+10,2.0691e+10,2.1269e+10,2.1121e+10,2.0338e+10,1.9062e+10,1.7455e+10
1.6032,1.811e+10,1.8986e+10,1.8937e+10,1.792e+10,1.5825e+10,1.2873e+10,9.5906e+09,6.5664e+09,4.2049e+09,2.6047e+09,1.632e+09,1.0786e+09,7.7061e+08,5.9726e+08,4.9739e+08,4.398e+08,4.0921e+08,3.9838e+08,4.0398e+08,4.2445e+08,4.5879e+08,5.0761e+08,5.9134e+08,7.2507e+08,9.3592e+08,1.2638e+09,1.764e+09,2.506e+09,3.5653e+09,5.0036e+09,6.8402e+09,9.0217e+09,1.1406e+10,1.3778e+10,1.5888e+10,1.7513e+10,1.8505e+10,1.8812e+10,1.8476e+10,1.7608e+10,1.635e+10
1.7034,1.6569e+10,1.6962e+10,1.6449e+10,1.4953e+10,1.2606e+10,9.7019e+09,6.7708e+09,4.3047e+09,2.5482e+09,1.4645e+09,8.6373e+08,5.4986e+08,3.8707e+08,2.9962e+08,2.4987e+08,2.2018e+08,2.0254e+08,1.9348e+08,1.9171e+08,1.9687e+08,2.0896e+08,2.286e+08,2.6561e+08,3.2974e+08,4.3864e+08,6.2044e+08,9.1768e+08,1.3898e+09,2.1109e+09,3.1571e+09,4.5829e+09,6.3881e+09,8.4911e+09,1.0724e+10,1.2861e+10,1.4668e+10,1.5959e+10,1.6633e+10,1.6685e+10,1.6185e+10,1.5253e+10
1.8036,1.5078e+10,1.5065e+10,1.4183e+10,1.2355e+10,9.8966e+09,7.1679e+09,4.6557e+09,2.7266e+09,1.4778e+09,7.805e+08,4.3124e+08,2.6571e+08,1.8691e+08,1.471e+08,1.249e+08,1.1113e+08,1.0195e+08,9.586e+07,9.2467e+07,9.1846e+07,9.4257e+07,1.0018e+08,1.1374e+08,1.4062e+08,1.9138e+08,2.8427e+08,4.4933e+08,7.3289e+08,1.1994e+09,1.9265e+09,2.9875e+09,4.4224e+09,6.2041e+09,8.2194e+09,1.0279e+10,1.2155e+10,1.3643e+10,1.4601e+10,1.4978e+10,1.4804e+10,1.4172e+10
